Country,Yield Int 2040,Food Self Sufficiency in 2040,Change in Food Self Sufficiency in 2040,Code,ISO,Legend - Change in Self-Sufficiency,Legend - Self-Sufficiency,Legend - Yield Intensity,yield int category
Mongolia,0.446,0.730064516,-0.009403889,11.73,MNG,Between -0.01 and 0.01,Between 0.5 and 0.75,Between 0.4 and 0.5,3
Montenegro,0.564,0.929171669,-0.049145867,4.66,MNE,Less than -0.03,Between 0.75 and 0.95,Between 0.5 and 0.6,4
Morocco,0.327,0.790051121,-0.007735717,112.6,MAR,Between -0.01 and 0.01,Between 0.75 and 0.95,Between 0.3 and 0.4,2
Mozambique,0.346,0.582408775,-0.018950489,16.59,MOZ,Between -0.03 and -0.01,Between 0.5 and 0.75,Between 0.3 and 0.4,2
Myanmar,0.768,0.915534096,-0.031636585,65.29,MMR,Less than -0.03,Between 0.75 and 0.95,Between 0.7 and 0.8,6
Namibia,0.397,0.672387374,0.000270846,13.11,NAM,Between -0.01 and 0.01,Between 0.5 and 0.75,Between 0.3 and 0.4,2
Nepal,0.56,0.756093624,-0.021975159,19.64,NPL,Between -0.03 and -0.01,Between 0.75 and 0.95,Between 0.5 and 0.6,4
Netherlands,0.925,0.763750628,0.000458007,880.4,NLD,Between -0.01 and 0.01,Between 0.75 and 0.95,Greater than 0.8,7
New Zealand,0.899,2.654056437,0.009923338,201,NZL,Between -0.01 and 0.01,Greater than 1.75,Greater than 0.8,7
Nicaragua,0.528,0.862600619,0.003270179,11.85,NIC,Between -0.01 and 0.01,Between 0.75 and 0.95,Between 0.5 and 0.6,4
Niger,0.707,0.408908803,-0.003459894,594.3,NGA,Between -0.01 and 0.01,Between 0.25 and 0.5,Between 0.7 and 0.8,6
Nigeria,0.418,0.447672131,-0.002382347,8.29,NER,Between -0.01 and 0.01,Between 0.25 and 0.5,Between 0.4 and 0.5,3
Norway,0.738,0.820190779,-0.003611138,511.6,NOR,Between -0.01 and 0.01,Between 0.75 and 0.95,Between 0.7 and 0.8,6
Oman,0.748,0.229827792,-0.00072687,80.54,OMN,Between -0.01 and 0.01,Less than 0.25,Between 0.7 and 0.8,6
Pakistan,0.527,0.591561562,-0.003956813,237.5,PAK,Between -0.01 and 0.01,Between 0.5 and 0.75,Between 0.5 and 0.6,4
Palestine,0.566,0.24002197,-0.00106741,6.64,WBG,Between -0.01 and 0.01,Less than 0.25,Between 0.5 and 0.6,4
Panama,0.453,0.642226529,-0.031986785,44.69,PAN,Less than -0.03,Between 0.5 and 0.75,Between 0.4 and 0.5,3
